Date,Meter_Type,Serial_No,Total_Reading,Current_Month_Reading,Unit_Price,Revenue,Image_Path
2024-01,Water,1128223,520774,156232.2,10,1562322,demo/water/10.jpg
2024-01,Water,1128636,5370,1611,10,16110,demo/water/2.jpg
2024-02,Electric,1128892,4965,1489.5,10,14895,demo/electric/8.jpg
2024-02,Electric,1128893,5468,1640.4,10,16404,demo/electric/10.jpg
2024-03,Electric,1128954,4404,1321.2,10,13212,demo/electric/9.jpg
2024-03,Water,1128955,5738,1721.4,10,17214,demo/water/9.jpg
2024-04,Electric,1129686,4685,1405.5,10,14055,demo/electric/1.jpg
2024-04,Electric,1129688,4169,1250.7,10,12507,demo/electric/7.jpg
2024-05,Electric,1129763,5021,1506.3,10,15063,demo/electric/3.jpg
2024-05,Electric,1129765,898,269.4,10,2694,demo/electric/4.jpg
2024-06,Electric,1129887,2224,667.2,10,6672,demo/electric/2.jpg
2024-06,Gas,1129890,2128,638.4,10,6384,demo/gas/7.jpg
2024-07,Gas,1130226,9575,2872.5,10,28725,demo/gas/4.jpg
2024-07,Electric,1130228,340,102,10,1020,demo/electric/5.jpg
2024-08,Gas,1130341,2,0.6,10,6,demo/gas/5.jpg
2024-08,Gas,1130344,7545,2263.5,10,22635,demo/gas/3.jpg
2024-09,Gas,1134358,851363,255408.9,10,2554089,demo/gas/1.jpg
2024-09,Water,1134517,466796,140038.8,10,1400388,demo/water/1.jpg
2024-10,Gas,1138087,224731,67419.3,10,674193,demo/gas/6.jpg
2024-10,Gas,1138335,158461,47538.3,10,475383,demo/gas/9.jpg
2024-11,Water,1138360,233858,70157.4,10,701574,demo/water/4.jpg
2024-11,Gas,1138569,134565,40369.5,10,403695,demo/gas/2.jpg
2024-12,Gas,1138570,668,200.4,10,2004,demo/gas/8.jpg
2024-12,Water,1138841,36092,10827.6,10,108276,demo/water/8.jpg
2025-01,Electric,1141376,5792,1737.6,10,17376,demo/electric/6.jpg
2025-01,Water,1146206,207396,62218.8,10,622188,demo/water/5.jpg
2025-02,Water,1148682,190417,57125.1,10,571251,demo/water/7.jpg
2025-02,Water,1149690,107574,32272.2,10,322722,demo/water/6.jpg
2025-03,Water,1150147,3992,1197.6,10,11976,demo/water/3.jpg
2025-03,Gas,1150150,60830,18249,10,182490,demo/gas/10.jpg
